Product Code,Item Code,Product Name,Category,Sub Category,Description,Unit Price,Unit Cost,Stock WH1,Stock WH2,Balagtas,Selling Tag
PPB006,RBM-115,(6) Plain Pizza Box,Pizza Box,Plain Pizza Box,PLAIN PIZZA BOX  -  6 x 6  x 1.5 inches ,7.5,3.25,"3,050",,,
PPB008,RBM-009,(8) Plain Pizza Box,Pizza Box,Plain Pizza Box,PLAIN BROWN 8 x 8 x 1.5 inches ,8.4,3.75,"3,125",,,
PPB010,RBM-003-R2,(10) Plain Pizza Box,Pizza Box,Plain Pizza Box,PLAIN BROWN 10.5 x 10.5 x 1.5 inches ,9.98,5.3,"9,950",,,
PPB011,RBM-008,(11) Plain Pizza Box,Pizza Box,Plain Pizza Box,PLAIN BROWN 11.5 x 11.5 x 1.5 inches ,11.03,6,"5,525",,,
PPB012,RBM-002,(12) Plain Pizza Box,Pizza Box,Plain Pizza Box,PLAIN BROWN 12.5 x 12.5 x 1.5 inches ,12.08,6.5,"2,050",,,
PPB014,RBM-004-R1,(14) Plain Pizza Box,Pizza Box,Plain Pizza Box,PLAIN BROWN 14 x 14 x 1.5 inches ,15.75,9,"1,625",,,
PPB016,RBM-010,(16) Plain Pizza Box,Pizza Box,Plain Pizza Box,PLAIN BROWN 16 x 16 x 1.5 inches ,17.85,12.1,1000,,,
PPB018,RBM-038,(18) Plain Pizza Box,Pizza Box,Plain Pizza Box,"PLAIN BROWN PIZZA BOX - 18 x 18 x 1.5""",19.95,14.5,1000,,,
PBG110,RBM-005,Hot Fresh Pizza (10),Pizza Box,Generic Pizza Box,HOT FRESH 10.5 x 10.5 x 1.5 inches ,10.5,5.5,1000,,,
PBG111,RBM-011-R2,Hot Fresh Pizza (11),Pizza Box,Generic Pizza Box,HOT FRESH PIZZA BOX 11.5 x 11.5 x 1.5 inches ,11.55,6.25,"2,525",,,
PBG112,RBM-006-R1,Hot Fresh Pizza (12),Pizza Box,Generic Pizza Box,HOT FRESH 12.5 x 12.5 x 1.5 inches ,12.6,7,"3,500",,,
PBG114,RBM-007,Hot Fresh Pizza (14),Pizza Box,Generic Pizza Box,HOT FRESH 14 x 14 x 1.5 inches ,16.28,9.45,1000,,,
PBG210,RBM-058-R1,Hot and Delicious (10),Pizza Box,Generic Pizza Box,HOT & DELICIOUS 10.5 x 10.5 x 1.5 inches ,10.5,5.5,"1,250",,,
PBG211,RBM-059,Hot and Delicious (11),Pizza Box,Generic Pizza Box,HOT & DELICIOUS 11.5 x 11.5 x 1.5 inches ,11.55,6.25,850,,,
PBG212,RBM-060-R1,Hot and Delicious (12),Pizza Box,Generic Pizza Box,HOT & DELICIOUS 12.5 x 12.5 x 1.5 inches ,12.6,7,1000,,,
PBG308,RBM-104,Fresh and Tasty (8),Pizza Box,Generic Pizza Box,FRESH & TASTY - 8 x 8 x 1.5 inches ,9.5,4.25,225,,,
PBG310,RBM-021-R2,Fresh and Tasty (10),Pizza Box,Generic Pizza Box,FRESH & TASTY  10.5 x 10.5 x 1.5 inches,10.5,5.5,"11,750",,,
PBG311,RBM-022-R2,Fresh and Tasty (11),Pizza Box,Generic Pizza Box,FRESH & TASTY  11.5 x 11.5 x 1.5 inches,11.55,6.25,775,,,
PBG312,RBM-023-R1,Fresh and Tasty (12),Pizza Box,Generic Pizza Box,"FRESH & TASTY -12.5 X 12.5 X 1.5 """,12.6,7,"2,775",,,
PBG314,RBM-024-R1,Fresh and Tasty (14),Pizza Box,Generic Pizza Box,FRESH & TASTY 14 x 14 x 1.5 inches ,16.28,9.45,225,,,
PBG316,RBM-105,Fresh and Tasty (16),Pizza Box,Generic Pizza Box,"FRESH & TASTY -16 x 16 x 1.5""",18.4,12.75,575,,,
PBG318,RBM-106,Fresh and Tasty (18),Pizza Box,Generic Pizza Box,"FRESH & TASTY -18 x 18 x 1.5""",22,15,"1,450",,,
PBG410,RBM-030,Care for a Slice (10),Pizza Box,Generic Pizza Box,HOME MADE 10.5 x 10.5 x 1.5 inches ,10.5,5.5,"10,450",,,
PBG411,RBM-031,Care for a Slice (11),Pizza Box,Generic Pizza Box,HOME MADE 11.5 x 11.5 x 1.5 inches ,11.55,6.25,"4,650",,,
PBG412,RBM-032,Care for a Slice (12),Pizza Box,Generic Pizza Box,HOME MADE 12.5 x 12.5 x 1.5 inches ,12.6,7,"6,650",,,
PBG510,RBM-061,Yummy Oven Pizza (10),Pizza Box,Generic Pizza Box,YUMMY OVEN FRESH 10.5 x 10.5 x 1.5 inches ,10.5,5.5,"8,300",,,
PBG511,RBM-062,Yummy Oven Pizza (11),Pizza Box,Generic Pizza Box,YUMMY OVEN FRESH 11.5 x 11.5 x 1.5 inches ,11.55,6.25,"3,000",,,
PBG512,RBM-063,Yummy Oven Pizza (12),Pizza Box,Generic Pizza Box,YUMMY OVEN FRESH 12.5 x 12.5 x 1.5 inches ,12.6,7,1000,,,
PBG610,RBM-054-R2,It's Pizza Time (10),Pizza Box,Generic Pizza Box,IT'S PIZZA TIME 10 x 10 x 1.5 inches ,10.5,5.5,"2,900",,,
PBG611,RBM-055-R2,It's Pizza Time (11),Pizza Box,Generic Pizza Box,IT'S PIZZA TIME 11 x 11 x 1.5 inches ,11.55,6.25,"3,700",,,
PBG612,RBM-056-R2,It's Pizza Time (12),Pizza Box,Generic Pizza Box,IT'S PIZZA TIME 12 x 12 x 1.5 inches ,12.6,7,575,,,
PBG614,RBM-057-R2 ,It's Pizza Time (14),Pizza Box,Generic Pizza Box,IT'S PIZZA TIME 14 x 14 x 1.5 inches ,16.28,9.45,"1,825",,,
PBG710,RBM-070,Making a Difference (10),Pizza Box,Generic Pizza Box,MAKING A DIFFERENCE 10.5 x 10.5 x 1.5 inches ,10.5,5.5,"8,550",,,
PBG711,RBM-071,Making a Difference (11),Pizza Box,Generic Pizza Box,MAKING A DIFFERENCE 11.5 x 11.5 x 1.5 inches ,11.55,6.25,"3,650",,,
